titulo,url,descripcion,fecha,imagen,autor
¿La estabilidad llega a octubre?,https://www.pagina12.com.ar/809783-la-estabilidad-llega-a-octubre,El Gobierno busca ganar tiempo con los dólares del FMI hasta las elecciones,2025-03-11T22:34:05-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-03/919420-15a-g0083768-afp.JPG?itok=31qEIPCY,Mara Pedrazzoli
Los analistas ven un alza en la inflación,https://www.pagina12.com.ar/809945-los-analistas-ven-un-alza-en-la-inflacion,Expectativas de mercado para febrero,2025-03-12T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-03/920199-12b-g0016623-guadalupe-20lombardo.JPG?itok=byqyecFB,Mara Pedrazzoli
La industria tomatera en alerta,https://www.pagina12.com.ar/810533-la-industria-tomatera-en-alerta,Empresarios piden medidas de control sobre las importaciones,2025-03-14T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-03/920826-13a-0.jpg?itok=EtLnXfiY,Mara Pedrazzoli
Qué oculta el acuerdo con el FMI,https://www.pagina12.com.ar/811002-que-oculta-el-acuerdo-con-el-fmi,Informe de CIFRA sobre la falacia de los argumentos,2025-03-16T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-03/921310-10a.jpeg?itok=QYdWwXuc,Mara Pedrazzoli
Las tibias excusas de Casa Rosada después de la caída de $Libra,https://www.pagina12.com.ar/804284-las-tibias-excusas-de-casa-rosada-despues-de-la-caida-de-lib,Milei no tiene quien lo defienda,2025-02-15T20:33:06-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/913955-g0134423.JPG?itok=YGqr-JPc,
"La ""auto-entrevista"" de Milei: ""Tuvo una defensa muy pobre""",https://www.pagina12.com.ar/804835-la-auto-entrevista-de-milei-tuvo-una-defensa-muy-pobre,El Presidente y un descargo contradictorio,2025-02-18T10:26:05-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/914484-milei-20con-20el-20ceo-20de-20kip-20protocol.jpg?itok=kxo1xamg,
Efemérides de hoy: qué pasó un 18 de febrero,https://www.pagina12.com.ar/804760-efemerides-de-hoy-que-paso-un-18-de-febrero,Hechos que ocurrieron en la Argentina y el mundo,2025-02-18T11:01:10-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/901778-amalita-fortabat-una-empresaria-seductora-y-desafiante-que-no-pierde-vigencia-foto-archivodyn-e6u5nuiyobe2tbtxekf2xlxflq.jpg?itok=ucb_72SQ,
"Feletti, sobre el criptogate: “Aceleró las debilidades del plan económico”",https://www.pagina12.com.ar/805136-feletti-sobre-el-criptogate-acelero-las-debilidades-del-plan,El lado B de la “sobregirada” de Milei,2025-02-19T09:10:57-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/914807-feletti.jpg?itok=jLigf_Nc,
Bancaria en alerta y movilización,https://www.pagina12.com.ar/805628-bancaria-en-alerta-y-movilizacion,Críticas a Milei y advertencias sobre la situación social,2025-02-21T10:57:12-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/915326-13a-na-0.jpg?itok=N9vEV1nR,
"La jornada laboral de cuatro días sí funciona: más productividad, tiempo libre y menos estrés",https://www.pagina12.com.ar/805961-la-jornada-laboral-de-cuatro-dias-si-funciona-mas-productivi,"Un compromiso social, ambiental e institucional",2025-02-22T16:38:14-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/915753-team-job-photo-young-businessmans-working-with-new-project-office_0.jpg?itok=RXF1-VLR,
Efemérides de hoy: qué pasó un 28 de febrero,https://www.pagina12.com.ar/807332-efemerides-de-hoy-que-paso-un-28-de-febrero,Hechos que ocurrieron en la Argentina y el mundo,2025-02-28T11:11:15-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/902374-andre-20previn.jpg?itok=DM70mPju,
"El país de Milei no tiene jubilados, ni educación, ni ciencia, ni salud",https://www.pagina12.com.ar/807829-el-pais-de-milei-no-tiene-jubilados-ni-educacion-ni-ciencia-,El Presidente inauguró las sesiones ordinarias ante una asamblea legislativa semivacía,2025-03-02T02:35:01-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-03/917731-48660b591400993955a444dae3029d89dd396a8d_0.jpg?itok=NKFY1CqF,Sebastian Abrevaya
Efemérides de hoy: qué pasó un 5 de marzo,https://www.pagina12.com.ar/808387-efemerides-de-hoy-que-paso-un-5-de-marzo,Hechos que ocurrieron en la Argentina y el mundo,2025-03-05T11:19:54-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-03/908527-stalin-afp.jpg?itok=MRUuYe3z,
Efemérides de hoy: qué pasó un 8 de marzo,https://www.pagina12.com.ar/809221-efemerides-de-hoy-que-paso-un-8-de-marzo,Hechos que ocurrieron en la Argentina y el mundo,2025-03-08T04:04:48-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-03/908796-max-20von-20sydow.jpg?itok=k99YdyP4,
Los desafíos de la economía popular en la Era Milei,https://www.pagina12.com.ar/809295-los-desafios-de-la-economia-popular-en-la-era-milei,Militancia y cooperativismo,2025-03-08T15:45:55-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-03/919433-gfa3h8xxmaayiwt.jpeg?itok=NAj2VJW0,
El FMI le pide más a Milei,https://www.pagina12.com.ar/802055-el-fmi-le-pide-mas-a-milei,Las condiciones para un nuevo acuerdo,2025-02-07T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/911481-milei-20y-20georgieva-na.jpg?itok=cOpJLXuu,
Historias detrás del desastre,https://www.pagina12.com.ar/803399-historias-detras-del-desastre,"Entre cenizas, cómo reconstruir la vida en Mallin Ahogado",2025-02-13T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/912427-jade_0.jpeg?itok=GyLAI68U,
"A la industria, tener un Milei trumpista no le alcanza",https://www.pagina12.com.ar/803859-a-la-industria-tener-un-milei-trumpista-no-le-alcanza,La cámara del acero pide acciones para revertir la suba de aranceles de Estados Unidos,2025-02-14T01:54:44-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/913424-13a-g0025440-archivo.JPG?itok=Tkvdfdo8,Raúl Dellatorre
